Vertice: 1 | Pai: 550225 | Level: 21 | Grau:8
Vertice: 84 | Pai: 274091 | Level: 13 | Grau:6
Vertice: 85 | Pai: 4372116 | Level: 14 | Grau:15
Vertice: 86 | Pai: 1139512 | Level: 23 | Grau:6
Vertice: 87 | Pai: 4109612 | Level: 9 | Grau:10
Vertice: 88 | Pai: 3559924 | Level: 19 | Grau:8
Vertice: 89 | Pai: 9386570 | Level: 15 | Grau:9
Vertice: 90 | Pai: 3517148 | Level: 13 | Grau:7
Vertice: 91 | Pai: 6104664 | Level: 14 | Grau:7
Vertice: 92 | Pai: 929243 | Level: 12 | Grau:8
Vertice: 93 | Pai: 2171262 | Level: 23 | Grau:7
Vertice: 94 | Pai: 4071124 | Level: 12 | Grau:7
Vertice: 95 | Pai: 6781815 | Level: 15 | Grau:9
Vertice: 96 | Pai: 2449889 | Level: 25 | Grau:6
Vertice: 97 | Pai: 3863963 | Level: 24 | Grau:5
Vertice: 98 | Pai: 1320368 | Level: 14 | Grau:7
Vertice: 99 | Pai: 6377573 | Level: 14 | Grau:10
Vertice: 100 | Pai: 7658902 | Level: 17 | Grau:8
