Vertice: 1 | Pai: 655 | Level: 4 | Grau:44
Vertice: 47 | Pai: 355 | Level: 9 | Grau:39
Vertice: 48 | Pai: 3326 | Level: 7 | Grau:44
Vertice: 49 | Pai: 3383 | Level: 8 | Grau:47
Vertice: 50 | Pai: 2527 | Level: 8 | Grau:36
Vertice: 51 | Pai: 9893 | Level: 12 | Grau:47
Vertice: 52 | Pai: 3595 | Level: 6 | Grau:44
Vertice: 53 | Pai: 5874 | Level: 14 | Grau:36
Vertice: 54 | Pai: 8564 | Level: 10 | Grau:42
Vertice: 55 | Pai: 7890 | Level: 10 | Grau:37
Vertice: 56 | Pai: 8073 | Level: 13 | Grau:38
Vertice: 57 | Pai: 9634 | Level: 6 | Grau:50
Vertice: 58 | Pai: 5588 | Level: 7 | Grau:35
Vertice: 59 | Pai: 2340 | Level: 9 | Grau:41
Vertice: 60 | Pai: 9082 | Level: 11 | Grau:51
Vertice: 61 | Pai: 9391 | Level: 11 | Grau:37
Vertice: 62 | Pai: 50 | Level: 9 | Grau:52
Vertice: 63 | Pai: 4782 | Level: 9 | Grau:50
Vertice: 64 | Pai: 1283 | Level: 12 | Grau:43
Vertice: 65 | Pai: 9317 | Level: 8 | Grau:37
Vertice: 66 | Pai: 2846 | Level: 12 | Grau:45
Vertice: 67 | Pai: 4145 | Level: 12 | Grau:37
Vertice: 68 | Pai: 4648 | Level: 8 | Grau:43
Vertice: 69 | Pai: 6232 | Level: 6 | Grau:40
Vertice: 70 | Pai: 5659 | Level: 7 | Grau:50
Vertice: 71 | Pai: 7732 | Level: 9 | Grau:41
Vertice: 72 | Pai: 3718 | Level: 12 | Grau:44
Vertice: 73 | Pai: 5205 | Level: 10 | Grau:48
Vertice: 74 | Pai: 7169 | Level: 9 | Grau:46
Vertice: 75 | Pai: 8462 | Level: 12 | Grau:37
Vertice: 76 | Pai: 4660 | Level: 3 | Grau:53
Vertice: 77 | Pai: 6525 | Level: 13 | Grau:48
Vertice: 78 | Pai: 4024 | Level: 7 | Grau:42
Vertice: 79 | Pai: 8045 | Level: 11 | Grau:42
Vertice: 80 | Pai: 2012 | Level: 9 | Grau:39
Vertice: 81 | Pai: 6032 | Level: 8 | Grau:46
Vertice: 82 | Pai: 2873 | Level: 11 | Grau:42
Vertice: 83 | Pai: 6566 | Level: 12 | Grau:44
Vertice: 84 | Pai: 3603 | Level: 14 | Grau:34
Vertice: 85 | Pai: 8434 | Level: 10 | Grau:50
Vertice: 86 | Pai: 9911 | Level: 4 | Grau:51
Vertice: 87 | Pai: 5949 | Level: 7 | Grau:35
Vertice: 88 | Pai: 211 | Level: 8 | Grau:34
Vertice: 89 | Pai: 3445 | Level: 7 | Grau:39
Vertice: 90 | Pai: 1777 | Level: 11 | Grau:43
Vertice: 91 | Pai: 8855 | Level: 14 | Grau:42
Vertice: 92 | Pai: 5260 | Level: 14 | Grau:43
Vertice: 93 | Pai: 1410 | Level: 7 | Grau:43
Vertice: 94 | Pai: 2349 | Level: 12 | Grau:43
Vertice: 95 | Pai: 7154 | Level: 11 | Grau:37
Vertice: 96 | Pai: 8640 | Level: 10 | Grau:39
Vertice: 97 | Pai: 1283 | Level: 12 | Grau:50
Vertice: 98 | Pai: 9165 | Level: 12 | Grau:33
Vertice: 99 | Pai: 7589 | Level: 12 | Grau:45
Vertice: 100 | Pai: 4553 | Level: 13 | Grau:44
