Vertice: 1 | Pai: 106519 | Level: 16 | Grau:50
Vertice: 33 | Pai: 479238 | Level: 13 | Grau:62
Vertice: 34 | Pai: 264126 | Level: 12 | Grau:55
Vertice: 35 | Pai: 622258 | Level: 14 | Grau:69
Vertice: 36 | Pai: 923896 | Level: 14 | Grau:57
Vertice: 37 | Pai: 952338 | Level: 6 | Grau:49
Vertice: 38 | Pai: 56117 | Level: 15 | Grau:70
Vertice: 39 | Pai: 578812 | Level: 12 | Grau:61
Vertice: 40 | Pai: 477496 | Level: 15 | Grau:65
Vertice: 41 | Pai: 677839 | Level: 15 | Grau:63
Vertice: 42 | Pai: 45922 | Level: 17 | Grau:60
Vertice: 43 | Pai: 915120 | Level: 17 | Grau:63
Vertice: 44 | Pai: 887194 | Level: 16 | Grau:51
Vertice: 45 | Pai: 361461 | Level: 18 | Grau:75
Vertice: 46 | Pai: 126190 | Level: 12 | Grau:61
Vertice: 47 | Pai: 618892 | Level: 17 | Grau:74
Vertice: 48 | Pai: 526499 | Level: 17 | Grau:81
Vertice: 49 | Pai: 753981 | Level: 10 | Grau:73
Vertice: 50 | Pai: 630598 | Level: 18 | Grau:47
Vertice: 51 | Pai: 189365 | Level: 14 | Grau:59
Vertice: 52 | Pai: 607902 | Level: 12 | Grau:63
Vertice: 53 | Pai: 859552 | Level: 19 | Grau:68
Vertice: 54 | Pai: 74935 | Level: 11 | Grau:59
Vertice: 55 | Pai: 953224 | Level: 13 | Grau:65
Vertice: 56 | Pai: 874537 | Level: 21 | Grau:63
Vertice: 57 | Pai: 344171 | Level: 16 | Grau:69
Vertice: 58 | Pai: 86349 | Level: 17 | Grau:57
Vertice: 59 | Pai: 614665 | Level: 18 | Grau:61
Vertice: 60 | Pai: 774634 | Level: 19 | Grau:62
Vertice: 61 | Pai: 210896 | Level: 19 | Grau:58
Vertice: 62 | Pai: 38475 | Level: 13 | Grau:35
Vertice: 63 | Pai: 17159 | Level: 9 | Grau:52
Vertice: 64 | Pai: 808827 | Level: 20 | Grau:68
Vertice: 65 | Pai: 345251 | Level: 17 | Grau:60
Vertice: 66 | Pai: 667610 | Level: 14 | Grau:63
Vertice: 67 | Pai: 853340 | Level: 16 | Grau:67
Vertice: 68 | Pai: 441732 | Level: 19 | Grau:56
Vertice: 69 | Pai: 589401 | Level: 22 | Grau:63
Vertice: 70 | Pai: 458614 | Level: 11 | Grau:60
Vertice: 71 | Pai: 23668 | Level: 15 | Grau:73
Vertice: 72 | Pai: 634754 | Level: 14 | Grau:57
Vertice: 73 | Pai: 75837 | Level: 17 | Grau:64
Vertice: 74 | Pai: 758121 | Level: 19 | Grau:56
Vertice: 75 | Pai: 796926 | Level: 15 | Grau:57
Vertice: 76 | Pai: 860467 | Level: 12 | Grau:62
Vertice: 77 | Pai: 240343 | Level: 22 | Grau:59
Vertice: 78 | Pai: 670501 | Level: 14 | Grau:60
Vertice: 79 | Pai: 123868 | Level: 9 | Grau:45
Vertice: 80 | Pai: 282826 | Level: 19 | Grau:59
Vertice: 81 | Pai: 691158 | Level: 22 | Grau:61
Vertice: 82 | Pai: 792994 | Level: 10 | Grau:66
Vertice: 83 | Pai: 996829 | Level: 15 | Grau:64
Vertice: 84 | Pai: 859698 | Level: 10 | Grau:58
Vertice: 85 | Pai: 204150 | Level: 21 | Grau:47
Vertice: 86 | Pai: 918668 | Level: 18 | Grau:64
Vertice: 87 | Pai: 498952 | Level: 16 | Grau:51
Vertice: 88 | Pai: 293582 | Level: 16 | Grau:61
Vertice: 89 | Pai: 371904 | Level: 11 | Grau:74
Vertice: 90 | Pai: 853887 | Level: 12 | Grau:63
Vertice: 91 | Pai: 465495 | Level: 10 | Grau:71
Vertice: 92 | Pai: 647522 | Level: 24 | Grau:60
Vertice: 93 | Pai: 905299 | Level: 19 | Grau:53
Vertice: 94 | Pai: 643494 | Level: 17 | Grau:69
Vertice: 95 | Pai: 834371 | Level: 12 | Grau:64
Vertice: 96 | Pai: 841405 | Level: 20 | Grau:53
Vertice: 97 | Pai: 126889 | Level: 15 | Grau:54
Vertice: 98 | Pai: 764439 | Level: 16 | Grau:54
Vertice: 99 | Pai: 939503 | Level: 15 | Grau:65
Vertice: 100 | Pai: 384833 | Level: 18 | Grau:66
